Role,Certifications,Prerequisites,Difficulty,Estimated_Duration,Average_Salary
Software Engineer,"Microsoft AZ-204; AWS Developer Associate; Oracle Java SE; Google Professional Cloud Developer","Programming basics; OOP; data structures",Medium,3–6 months,$80k–$140k/year
Data Scientist,"IBM Data Science; Google Data Analytics; Microsoft DP-100; AWS Machine Learning Specialty","Python; statistics; ML basics",High,4–8 months,$90k–$150k/year
HR Manager,"SHRM-CP; PHR; CIPD Level 3/5","HR fundamentals; business laws",Medium,2–4 months,$60k–$100k/year
Financial Analyst,"CFA Level 1–3; FRM; FMVA","Finance basics; accounting; Excel",Very High,6–24 months,$70k–$150k/year
Product Owner,"Scrum.org PSPO; Scrum Alliance CSPO; SAFe POPM","Agile/Scrum knowledge",Low–Medium,1–2 months,$80k–$130k/year
DevOps Engineer,"AWS DevOps Pro; Azure DevOps; Docker + Kubernetes CKA","Linux; scripting; cloud basics",High,4–7 months,$90k–$150k/year
Marketing Lead,"Google Ads; Google Analytics; HubSpot Marketing; Meta Blueprint","Digital marketing basics",Low–Medium,1–3 months,$60k–$110k/year
Sales Manager,"Certified Professional Sales Leader (CPSL); HubSpot Sales; Sandler Sales Training","Sales fundamentals; communication skills",Medium,2–4 months,$70k–$120k/year
Business Analyst,"IIBA ECBA/CCBA/CBAP; PMI-PBA; Agile BA","Business process basics; modeling",Medium,2–5 months,$70k–$120k/year
Project Manager,"PMP; PRINCE2; Scrum Master","Project management experience",High,3–6 months,$90k–$140k/year
QA Engineer,"ISTQB Foundation; Certified Agile Tester; Selenium Automation Certification","Testing fundamentals; basic scripting",Medium,2–4 months,$60k–$100k/year
UX Designer,"Google UX; NNGroup UX Certification; Interaction Design Foundation Certificates","Design basics; Figma knowledge",Medium,2–5 months,$70k–$120k/year
