Role,Principle_Category,Principle_Statement,Best_Practice_Key,Best_Practice_Description
Software Engineer,Code Quality,Ownership of Code,Code Review,"Always seek peer review, focusing on readability and maintainability (not just functionality)."
Software Engineer,Development Methodology,Incremental Delivery,Small Commits,"Commit code frequently, focusing on a single, isolated change per commit to simplify debugging."
Software Engineer,Testing,Shift Left Testing,Unit Test Coverage,"Maintain minimum 80% unit test coverage for new functionality to catch bugs early."
Software Engineer,Security,Security First Design,Input Validation,"Treat all external input as untrusted; implement rigorous input sanitation and validation at boundaries."
Data Scientist,Modeling,Model Reproducibility,Version Control,"Document all model training parameters, dataset versions, and random seeds (e.g., use MLflow or DVC)."
Data Scientist,Data Integrity,"Garbage In, Garbage Out",Data Validation,"Establish clear data quality checks before modeling, ensuring consistency and completeness."
Data Scientist,Ethics,Bias Mitigation,Fairness Audit,"Regularly assess model predictions across different demographic groups for bias and fairness."
Data Scientist,Deployment,Production Readiness,Monitoring,"Implement monitoring dashboards to track model drift and prediction latency in production."
HR Manager,Compliance,Legal Adherence,Policy Review Cycle,"Conduct quarterly reviews of key policies (e.g., WFH, PTO) to ensure compliance with local labor laws."
HR Manager,Employee Experience,"Empathy & Confidentiality",Active Listening,"Treat all employee concerns confidentially and use active listening to understand underlying issues."
HR Manager,Talent Acquisition,Fair Opportunity,Standardized Interviews,"Use structured interview guides and consistent evaluation criteria to mitigate interviewer bias."
HR Manager,Development,Growth Mindset,Feedback Loop,"Facilitate regular 1-on-1 feedback sessions focused on development goals, not just performance."
Financial Analyst,Accuracy,Zero Tolerance for Errors,Triple Check,"Validate every financial model and report output against source data three times before distribution."
Financial Analyst,Forecasting,"Prudence & Conservatism",Assumption Documentation,"Clearly label and document all key assumptions used in financial projections and sensitivity analysis."
Financial Analyst,Efficiency,Data Automation,"Excel/Python Automation","Minimize manual data entry; use tools like Python/VBA or Power Query for report generation."
Financial Analyst,Confidentiality,Information Security,Data Handling,"Handle sensitive financial data (e.g., payroll, M&A) only on secure, encrypted systems."
Product Owner,Value Delivery,Prioritize Business Value,"MoSCoW/RICE Scoring","Use scoring methods (Must Have, Should Have, etc.) to ensure the highest value items are always at the top of the backlog."
Product Owner,Stakeholder Management,Clear Communication,Roadmap Transparency,"Maintain a single, accessible source of truth for the product roadmap and communicate changes immediately."
Product Owner,Agile Principles,Team Empowerment,Protect Sprint,"Shield the development team from external disruption during the sprint to maintain focus and velocity."
Product Owner,User Focus,Voice of the Customer,User Interviews,"Spend at least 10% of time directly engaging with users/customers to gather qualitative feedback."
DevOps Engineer,Infrastructure,"Infrastructure as Code (IaC)","Terraform/Ansible","Manage all cloud resources via code (e.g., Terraform), enabling rapid deployment and rollback."
DevOps Engineer,Automation,Efficiency First,Pipeline Automation,"Automate everything from testing and builds to deployments and environment provisioning."
DevOps Engineer,Monitoring,Proactive Alerting,"SLO/SLI Definition","Define clear Service Level Objectives (SLOs) and configure alerts before issues impact users."
DevOps Engineer,Resilience,Fault Tolerance,Chaos Engineering,"Test system resilience by simulating failures (e.g., turning off services) in staging environments."
Marketing Lead,Strategy,Targeted Messaging,Persona Definition,"Develop and continuously refine detailed customer personas to ensure all campaigns are relevant."
Marketing Lead,Data-Driven Decisions,Measure Everything,Attribution Tracking,"Implement robust tracking (UTMs, GTM) to accurately attribute all marketing spend to revenue generation."
Marketing Lead,Branding,Consistency,Style Guide Adherence,"Ensure all public-facing content strictly adheres to the company's brand voice, visual, and style guidelines."
Marketing Lead,Testing,Continuous Improvement,"A/B Testing","Run simultaneous A/B tests on landing pages, emails, and ads to optimize conversion rates."
Sales Manager,Customer Focus,Consultative Selling,Needs Discovery,"Spend 80% of initial calls asking questions to understand the client's pain points before pitching solutions."
Sales Manager,Process,Pipeline Hygiene,"CRM Discipline","Maintain a clean and accurate CRM (Salesforce/HubSpot) with clear next steps for every active opportunity."
Sales Manager,Ethics,Integrity,Honest Pitching,"Never over-promise product features; focus on real value and long-term customer relationships."
Sales Manager,Follow-up,Persistence,Scheduled Cadences,"Establish automated, personalized follow-up sequences for leads that go cold."
Business Analyst,Elicitation,"Uncover the ""Why""",Root Cause Analysis,"Do not just document requested features; challenge stakeholders to find the underlying business need."
Business Analyst,Documentation,"Clarity & Precision",Simple Language,"Write requirements (User Stories) using clear, non-technical language that is easily understood by both developers and business users."
Business Analyst,Scope Management,Prevent Scope Creep,Change Request Protocol,"Establish a formal change request process to evaluate and approve any deviation from the agreed scope."
Business Analyst,Modeling,Visual Communication,Process Diagrams,"Use visual tools (BPMN, flowcharts) to illustrate complex processes and data flows instead of lengthy text descriptions."
Project Manager,Scope,Guardrails,Baseline Freeze,"Define the project scope baseline early and strictly control changes against that baseline."
Project Manager,Stakeholders,Engagement,Communication Plan,"Create and execute a plan detailing who needs what information, when, and how (e.g., weekly status reports, daily standups)."
Project Manager,Risk,Proactive Mitigation,Risk Register,"Maintain a live register of risks, proactively monitoring top threats and executing mitigation plans before they become issues."
Project Manager,Schedule,Realistic Timelines,Contingency Buffer,"Build a realistic timeline using critical path analysis and include a management reserve for unforeseen delays."
QA Engineer,Coverage,"End-to-End Testing",Test Case Mapping,"Map test cases directly back to original user stories or requirements to ensure 100% coverage."
QA Engineer,Reporting,"Clarity & Actionability",Detailed Bug Reports,"A defect must contain clear steps to reproduce, actual vs. expected results, and environment details."
QA Engineer,Automation,"Efficiency & Reliability",Maintainable Scripts,"Write automation scripts that are easy to update when the UI changes, avoiding brittle XPath locators."
QA Engineer,Quality Culture,Early Involvement,Dev Collaboration,"Participate in design and requirement reviews before development starts to catch quality issues at the source."
UX Designer,Usability,"User-Centered Design",User Testing,"Base all major design decisions on insights gathered from quantitative data or direct user testing."
UX Designer,Accessibility,Inclusive Design,"WCAG Compliance","Ensure all designs meet minimum WCAG (Web Content Accessibility Guidelines) standards for color contrast, alt text, and keyboard navigation."
UX Designer,Iteration,Continuous Refinement,Design System,"Maintain and use a centralized design system (e.g., Figma library) to ensure consistency across products."
UX Designer,Collaboration,Shared Vision,Design Handoff,"Provide developers with clear specifications, spacing, and interactive prototypes for seamless implementation."
